Sentence,Label
web development,c2
html java script php,c2
jee jsps servlets,c2
mobile development,c2
ios windows phone,c2
development tools,c2
eclipse dev c++ visual studio 2010 visual studio 2010 express,c2
windows phone sybase power design net beans,c2
dreamweaver microsoft sql 2005,c2
databases,c2
microsoft sql 2005 db2 mysql,c2
graphics,c2
adobe photoshop,c2
adobe effects,c2
communication presentation analysis search teamwork leadership skills,c3
learning new features fast updated latest technologies,c3
work pressure meet deadlines,c3
member student union sport committee 2010 2011,c10
member scci student conference communication information,c10
organizing committee technical support specialist scci www scci cu com,c10
member trainings management team p4y lvad life voice association,c10
development lvad www lvadonline com,c14
organizer fci cu job fair 2009 2010 2011 2012 postgraduates year,c10
organizer fci cu welcome party 2009 2010 new students,c10
member event team life society fci cu,c10
"organizer p4y's rounds closing party rounds ""programming youth"" p4y",c10
p4y lvadonline com team learn youth programming,c10
language mother language arabic good english,c4
faculty engineering cairo university,c12
2nd year electronics communications engineering,c9
expected year graduate 2016,c9
overall grade excellent,c13
1st year rank 15,c13
vhdl good,c2
arduino good,c2
matlab good,c2
simulation software multisim proteus good,c2
programing via c++ good,c2
team worker,c3
team leader,c3
working stress,c3
well organized,c3
searcher seek learn,c3
hard worker,c3
volunteer resla organization,c10
member embedded system laboratory,c10
arabic native,c4
english good,c4
highly motivated student seeking opportunity international,c3
firm development professional skills achievements,c3
dedication key factors advancements,c11
cairo university facility engineering 2nd year,c9
major electronics electrical communication department,c12
accumulative grade good,c13
arabic mother tongue,c4
english fluent reading writing speaking,c4
german weak,c4
french weak,c4
cairo university faculty engineering student union,c10
elected member 2013,c10
elected member 2014 elected scientific committee,c10
vice president,c10
founder positive first student activity,c10
launched 2017 class head academic,c10
committee,c10
pr member future eyes,c10
stp juniors member 2010,c10
responsible team player,c3
perseverant hard worker,c3
organized efficient result oriented,c3
excellent communications skills,c3
excellent presentation skills,c3
microsoft office word power point,c3
prezi presentation program,c3
matlab,c2
c++ programming language,c2
personal profile recent graduate bsc communications engineering cairo university,c8
interested expanding professional experience relating career whether,c11
area embedded systems telecommunications control proven communication,c11
skills teamwork achieving goals proactive responsible creative proven ability,c11
think outside box identifying problems implementing innovative solutions,c1
bsc communication electronics engineering cairo university june 2013,c8
title design implementation ofdm digital mobil radio,c14
description project elaborates design implementation ofdm digital mobil radio,c14
low rate ofdm based wireless standard receiver transmitter implementation,c14
done usrp e100 open source software development toolkit sdr processing,c14
power e100 provided spartan 3a dsp1800 fpga gumstix overo tide,c14
module includes arm cortex a8 c64x+ dsp,c14
embedded systems,c2
embedded systems diploma certified embedded fab company,c1
embedded systems fundamentals assembly avr,c2
embedded c programming,c2
interfacing protocols spi i2c uart,c2
real time operating systems rtos,c2
software engineering testing,c2
linux environment c/c++ matlab office,c2
arabic mother tongue english good written spoken,c4
microprocessor 8 bit using vhdl,c14
vehicle tracking systems using gsm gps modules,c14
mcq exam solving using microcontroller interfacing lcd keypad,c14
simulate source coding channel coding calculate ber using matlab,c14
simulate pa dpd ofdm system mimo systems equalizer using matlab 2013,c2
cece summer training basic hardware circuits pcb design linux os,c14
balayim petroleum company communications department,c5
security meter development linux environment,c14
unimasr com moderation team,c10
cece communication electronics club engineers publicity head,c10
resala charity organization volunteer,c10
ieee participant electronics club committee,c10
2nd year department electronics electrical communications engineering,c9
faculty engineering cairo university,c12
arabic native tongue,c4
english good,c4
french fair,c4
positive thinking negative altitudes,c3
software developer space system technology laboratory,c5
working cansat project participate international competition cansats held texas,c5
preparing group participate robocon competition next year next,c5
small android application,c14
curriculum working alu project full design,c14
delegate gate13 pr member black horse,c10
organizer,c3
sufraa el khair,c10
trainings sessions,c10
embedded systems valeo organization,c10
human development communication skills planning skills interviewing skills presentation skills,c3
java android,c2
c++ cece,c10
avr microcontrollers ieee,c10
self studying,c3
electronics circuits design mit university,c1
embedded systems shape world austin university,c1
work position skills utilized fullest extent,c11
electrical engineering b sc electronics telecommunication computer department faculty,c8
engineering helwan university batch 2012,c12
general grade good,c13
graduation project smart shopping cart application rfid technology uses pic,c14
microcontroller process information rfid reader send results graphical lcd,c14
mcit ministry communications information technology,c1
database development administration multi platform oracle database 11g,c1
electrical workshops faculty engineering helwan university one month summer 2009,c1
network training bank miser one month summer 2010,c5
control training cairo oil refining one month summer 2010,c5
data base training egyptian general petroleum cooperation one month summer 2011,c5
electronics microcontroller training aboelnaga company two months 2012,c5
attend work shop sensors wireless tiec 16/10/2012,c1
attend seminar human development 10/10/2010,c11
gsm 8/07/2010 26/07/2010,c1
robotics smart control 25/07/2011 25/08/2011,c1
first module ccna 27/2/2012 20/3/2012,c1
english grammar course 2/1/2013 1/4/2013,c1
english conversation course 11/4/2013 11/5/2013,c1
toefl itp test preparation course 22/12/2013 23/1/2014,c1
developing computer applications using c/c++ java,c2
programming pic microcontroller using micro c micro basic american pic basic,c14
create data bases using sql servers,c2
developing android application using eclipse,c2
create web sites using html java applet,c2
analog digital circuit design,c2
simulation electronic circuits using proteus 7,c2
pcb making,c2
computer interface,c2
icdl,c2
ability work team,c3
ability learn fast,c3
good communication skills,c3
english good,c4
arabic fluent,c4
pass toefl exam 617 score,c1
temperature sensor using z80,c14
calculator using 8051 microcontroller,c14
parallel serial computer interface circuit,c14
dc motor driver control circuit,c14
pic microcontroller general purpose kit,c14
home automation using sensors microcontrollers,c14
im android junior developer im interested software design development,c2
im seeking opportunity utilize expand skills knowledge,c11
b sc computer science faculty computes information cairo university,c8
grade good,c13
project attained excellent,c13
eclipse ++ plug package focuses making eclipse collaborative,c14
1 crtc collaborative real time coding,c14
supportive tool allows collaborative real time coding,c14
eclipse,c2
plug source forge,c14
enables users transfer installed plug ins eclipse another,c14
plug source forge,c14
2 eclipse date,c14
used technologies java google drive api xmpp smack library svn,c14
nourayn software company projects,c14
holy quran application android make use android devices helping,c14
users read listen holy quran anywhere features,c14
1 easy access holy quran pages surahs juz's even hizbs,c14
2 save bookmarks notes reading stop position,c14
3 one translation tafseer available,c14
4 audio reciting ayahs pages many reciters available,c14
5 share ayah friends social networks,c14
6 widget displaying daily islamic date ayah day,c14
7 reminder daily reading time,c14
academic projects,c14
simple phonebook application java android,c14
messaging manager application java android,c14
notes application java android,c14
asindk islamic reminder athkar prayers c++,c14
wordy world words games package c++,c14
examination evaluation manager educational systems c++,c14
linear system equations solver parallel processed using mpi c,c14
mini java compiler java javacc,c14
simple news web site html javascript,c14
c++ basics student union course instructor july 2011,c10
think like programmer c++ course teaching assistant february 2012,c1
associate computer science curriculum specialist ceia team july 2012,c10
android trainee asga tech september 2013,c10
android junior developer nourayn software company december 2013,c5
c++ course june 2009,c1
data structures object oriented programming course january 2010,c1
java course august 2011,c1
photoshop course february 2012,c1
java,c2
excellent,c2
c c++ good,c2
javascript,c2
good,c2
html,c2
good,c2
python good,c2
assembly,c2
ruby,c2
prolog,c2
database,c2
sql server,c2
mobile development,c2
android good,c2
adobe photoshop cs5,c2
matlab,c2
gams,c2
protg,c2
swi prolog,c2
clips expert system building tool,c2
rubymine,c2
work stress,c3
good communication skills,c3
social person enjoy working team,c3
head hr committee vision society 2011 2012,c10
student union vice president cultural committee 2011 2012,c10
organizer connect success event sponsored symbyo technologies 2010,c10
arabic mother language,c4
english good,c4
4th year electrical power machines engineering cairo university faculty engineering,c9
graduation project home automation system smart houses,c14
2011 summer training national center energy control gpa excellent,c5
2012 mid year vacation training high dam egyptian chemical industries kima factory,c5
2012 hr member ieee cusb,c10
2013 summer internship giza systems,c5
2013 head hr team ieee cusb prepared soft skills courses instructor,c10
2013 technical support etisalat adsl summer vacation,c5
2014 mid year vacation training alcatel lucent,c5
2014 head power club team ieee cusb prepared technical courses like control,c10
"""automatic classic"" distribution utilization matlab help power students college",c10
2010 completed training program development thinking managerial,c1
2011 finished matlab programming course casbec gpa excellent,c1
introduction plc advanced autocad electrical works step low voltage design,c1
home wiring classic control plc,c14
excellent presentation skills self confidence work team work work well pressure,c3
excellent english read written spoken arabic tongue language,c4
excellent different computer programs dialux autocad ekts matlab ms office,c2
learning electrical safety,c11
learning automatic control,c11
see learn field trips,c11
enrich practical experience electricity,c11
c,c2
c++,c2
matlab,c2
visual basic,c2
microcontroller,c2
2 egyptian natural gas company gasco,c5
learning air conditioning,c11
system control gas station,c11
safety systems,c11
3 egyptian electricity transmission company,c5
faculty engineering cairo university,c12
power department,c12
second year,c9
last grade excellent,c13
expected bsc electronics communications engineering 2012 2016,c9
language english french,c4
computer office ms matlab multisim protus,c2
programing c++ java android visual basic,c2
participant k vector gate cece cairo university,c10
june 2013 oct 2013 computer networks course university washington @ coursera,c1
sep 2013 internship schlumberger,c1
march 2014 osha general industry safety health 29 cfr 1910,c1
march 2014 personal protective equipment ppe,c1
looking challenging summer internship enhance augment,c11
knowledge skill base,c11
2011 2016 faculty engineering cairo university electronics communication,c12
department total grade till,c12
cece cooperation google student ambassadors mobile apps,c10
java android 2013,c2
moic member logistics 2013,c10
go participant marketing 2012,c10
technical skills c++ java vhdl simulation software multisim proteus,c2
basic electronics matlab,c2
soft skills team player creative thinker flexible problem solver work well,c3
pressure attentive leadership skills,c3
arabic native,c4
english good,c4
languages fluent english arabic native tongue,c4
current faculty engineering cairo uni credit hours system,c12
2nd year communication computer engineering,c9
3/4 gpa,c13
computer skills c++ matlab microsoft office,c2
verilog hardware description language,c2
gasco summer 2012,c5
verilog faculty engineering cairo university,c2
puppeteer project management workshop academic year 2011_2012,c10
student activity stp,c10
soft skills presentation communication project management skills dealing difficult personalities sales skills,c3
negotiation skills public speaking presentation skills teamwork leadership,c3
ipr internal public relations member stp student activity 8/2012 5/2013,c10
qc quality control member stp student activity 7/2013 4/2014,c10
tedxmust oc organizational commity member 11/2013 presnet,c10
faculty engineering cairo university,c12
graduation project grade excellent,c13
good,c13
electronics electric communications engineering,c12
elective modules included,c14
information theory,c14
satellite communications,c2
nano technology,c2
graduation project land oil site control invensys,c14
project supported invensys control company concerned,c14
field safety control different sites like oil sites project aim,c14
start site control point using dcs distributed control,c14
system make emergency system monitor pressure temperature,c14
point maintain security site done using esd emergency,c14
shut system,c14
basic hardware electronic circuits pcb design linux os learning cece,c10
communications electronics club engineering,c10
introduction ewsd switching systems telecom egypt aug 2010,c10
introduction transmission system nokia siemens networks nsn july 2010,c1
matlab good,c2
ns2 good,c2
data structures via c++ good,c2
plc good,c2
vhdl programming good,c2
hardware design pcb good,c2
c programming good,c2
word / excel good,c2
oc member cece communications electronics club engineering,c10
member one organizing 29th radio conference cairo university,c10
communication skills speaking effectively expressing ideas working team,c3
interactive flexible cooperative member team works,c3
ability detect analyze solve problems scientifically,c3
interactive learn new technologies sciences,c3
arabic native,c4
english good,c4
computer science 2011 2015,c12
faculty computers infor mation cairo university,c12
3rd year,c9
gcs e thanwia amma al waha international schools,c11
interned ekshef start,c10
interned ekshef start working web backend,c10
participated dose distributed outsourced software engineering course,c1
eth zurich university,c1
participated teams denmark russia brazil collaborative project,c14
program organized eth zurich university switzerland applied software,c14
engineering methodologies including requirements gathering analysis design test,c14
driven development implementation,c14
google student ambassador cairo university,c10
acted liaison google cairo university promoted google brand,c10
across campus built relationships students facul ty,c10
participated acm ecpc egyptian collegiate programming competition,c5
acm ecpc programming competition contestants solve certain,c5
problems require problem solving kills creative thinking,c3
solving competitive programming problems online judges like top coder codeforces,c5
participant scci student conference computer information,c10
student activity cairo university,c10
organizer esea egyptian software engineer association team cairo,c10
optimized phone contact manager,c14
implemented efficient contact searching program applying different data structures,c14
including trie treap linked lists written c++,c14
hive game,c14
strategic board game written eiffel programming language,c14
text editor gui,c14
made text editor using visual studio written c++,c14
languages c++ java python javascript html eiffel assembly,c2
concepts oop data structures algorithms design patterns,c2
technologies git github microsoft sql server mysql django,c2
arabic,c4
native,c4
english,c4
excellent written spoken,c4
french,c4
java j2se course including oop sockets threading gui,c2
aim play influential role nation's renaissance getting experience programming languages tools,c11
help developing useful software,c11
programming languages java c c++,c2
web development php css html5,c2
operating systems windows 98 xp 7 linux several versions ubuntu,c2
tools wampserver xampserver microsoft visual studio 2008 2010 2012 turbo c mysql oracle sql server 2008 microsoft,c2
bizagi business process management tool,c2
database mysql good oracle good,c2
computer science 3nd year helwan university gpa good,c9
arabic mother tongue,c4
english good read wrote spoken,c4
interested learning new technologies fast,c3
presentation skills presented graduation project egypt engineering day,c3
communication skills volunteering campaigns mentioned later,c3
ability work team individually according job requirements,c3
google student ambassador logistics committee act point contact university google spread word,c10
competitions scholarships opportunities help google better understand needs culture host organize events,c10
bring awareness google's products brand https //www facebook com/gsa helwanuniversity,c10
flickers quality documentation committee empower students enhance vocational non vocational skills,c10
customized programmes? organized many sessions seminars face needs students,c10
"resala charity organization i'm organizer reconstruction ""emaar"" activity activity establishment mosques care",c10
cleaned upgradation fill needs maintenance schools supplement needs classroom painting,c10
restoration maintenance houses poor participated many random resala events resala convoys,c10
travel poor villages like menia asuit deliver needs poor people foods facebook com/resala org,c10
emaar i'm organizer emaar aim helping poor villages egypt small projects building roofs foods,c10
so7ba mosl7a aim caring orphans develop achieve dreams,c10
international day peace organized great celebration ?international day peace?for egyptian children orphans,c10
handicaps autistics normal children presence minister youth many embassies artists day aimed learn,c10
children peace know ?children rights? many funny activities suitable ages,c10
acm training helps trainees increase problem,c5
faculty computers information,c12
academic year 3rd year,c9
expected graduation year 2015,c9
"i'm trainee "" acm icpc"" junior traning 2012 present",c5
solving skills,c3
intern microsoft imagine cup university 2012 2013,c5
imagine cup university life changing program,c5
microsoft last 1 years aims make able compete,c5
imagine cup technical non technical training,c5
member academic app factory program microsoft july,c10
trainee nsgb bank department june 2013,c5
c++ gui,c2
c#,c2
java,c2
matlab,c2
operating systems,c2
windows 8 development,c2
windows phone 7 development,c2
android development,c2
database / web design development,c2
sql,c2
html css javascript php,c2
software engineering,c2
data structure,c2
object oriented programming,c2
database,c2
ides/tools,c2
qt creator eclipse codeblocks visual studio,c2
projects sliding game cinema system snake game using c++,c14
spelling checker using c++ qt creator,c14
connect 4 game application windows 8,c14
design news website,c14
fci halls management system website using sql php,c14
fci helper application application android,c14
hr team member microsoft tech club cairo,c10
university egypt best tech club egypt 2013,c10
1st winning team egypt competition egypt ideation,c11
camp sponsored intel tiec february 2013,c10
idea one best 100 ideas hayiy competition,c11
aspires promote sme sector well fresh graduates,c10
nationwide develop arabic built web,c14
1st winning team scci conference days 2012 ponergy,c11
third winning team projects competition imagine cup,c5
university internship october 2012,c11
microsoft student partner,c10
i'm member vertical dec 2013 present,c10
microsoft student partner representative,c10
hr team member jan 2013 dec 2013,c10
participant business workshop robebkya 2013,c10
participant mobile application workshop android,c10
windows phone 7 appsplash 2012,c10
presentation skills,c3
negotiation skills,c3
communication skills,c3
teamwork,c3
leadership,c3
planning,c3
business modeling,c3
project management,c3
school al bashaer language school,c11
university faculty engineering cairo university,c12
major bsc electronics communications engineering,c8
cumulative grade good,c13
graduation project mobile based visual aid blind,c14
project aims help blind identify unknown person blind equipped mobile phone,c14
includes camera unknown person described set images identification,c14
performed extracting feature image unknown person comparing,c14
features database feature nearest distance captured image,c14
considered person identified,c14
used tools languages mobile phone android os java opencv integrated development,c2
environment eclipse,c2
elective courses acoustics engineering optical fiber communications nano electronics,c1
june 2009 ieee institute electrical electronics engineers basics analog digital,c1
circuits introduction linux os,c1
july 2010 aoi arab organization industrialization production department,c5
july 2011 telecom egypt digital telephony communication data network telephone,c5
networks telecom egypt profile services,c1
august 2011 telecom egypt communication satellites,c1
august 2008 icdl course windows xp microsoft word/powerpoint/excel,c1
june 2010 cece communications electronics club engineers matlab introduction,c1
august 2010 computer engineering labs cairo university c++ course,c1
december 2010 gate go ahead take experience avr atmega microcontroller basics,c1
june 2011 cece wireless communications system design using matlab,c1
july 2011 cece digital design using verilog hardware description language,c1
circuit simulation software topspice logisim simulink proteus,c2
network simulation software opnet,c2
electronic design automation environment cadence,c2
teaching resala non profitable organization students preparatory stage,c10
unimasr educational website member communications moderation team,c10
e learning html software testing,c2
arabic fluent spoken written,c4
english good spoken written,c4
communication engineering student i'm working developing personally professionally,c11
able enter market qualified candidate gives better opportunity join well known,c11
im enthusiastic ambitious person always eager know learn others experience life,c11
im hard worker always committed involved showed good command leadership skills,c3
well experienced communication skills presentation skills team work,c3
vice president internal relations stp student organization,c10
managing work coordinating three committees internal public relations committee,c10
decorations coordination reception committee logistics committee accordance,c10
committees' heads,c10
assigning tasks committees' heads following progress work,c10
providing training committees' heads members accordance hr section,c10
preparing detailed time plan year's work help committees' heads accordance,c10
internal public relations member stp student organization,c10
representing stp inside cairo university managing relations cairo university administration,c10
student organizations,c10
planning executing marketing campaigns stp's projects inside cairo university,c10
project manager k vector foundation student organization,c10
planning monitoring k vector foundation's events including time plan cost plan quality risk,c10
arabic,c4
english,c4
french,c4
native bilingual proficiency,c4
professional working proficiency,c4
elementary proficiency,c4
undergraduate electrical electronics communications engineering 2011 2016,c9
activities societies stp k vector foundation,c10
nile school,c11
high school mathematical science major 2008 2011,c11
grade 100 5%,c11
undergraduate electrical electronics,c9
communications engineering,c12
cairo university,c12
basics electronics,c1
vice president internal relations,c10
stp student organization,c10
leadership training,c10
independent coursework,c11
project management workshop participant stp 2012,c1
internal convoys volunteer resala charity organization,c10
power science project campaigns life makers foundation,c10
microsoft office,c2
project management,c3
public relations,c3
leadership,c3
management,c3
project planning,c3
training,c3
marketing,c3
time management,c3
teamwork,c3
logistics,c3
administration,c3
team management,c3
communication engineering,c12
team work,c3
arabic,c4
native,c4
english,c4
good,c4
french,c4
fair,c4
faculty engineering,c12
communication department,c12
cairo university,c12
2013 degree good,c13
nile private schools,c11
graduated score 411 5,c11
ranked arab,c11
republic egypt 26,c11
microsoft ofce,c2
word power point excel etc,c2
c++,c2
ni multisim 11,c2
engineering courses,c1
basics electronics course,c1
management courses hr intensive course,c2
k vector foundation january 2013,c10
k vector foundation student organization,c10
faculty engineering cairo university,c12
project management workshop participant,c1
stp november 2011 april 2012,c10
stp student organization faculty,c10
engineering cairo university,c12
french course 2nd level,c1
cfcc september 2010,c1
faculty engineering cairo university,c12
bsc electronics communications engineering,c8
average cumulative grade 62 27 %,c13
advanced logic design,c2
nanotechnology,c2
graduation project mobile aided navigation tool blind,c14
mobile application catch picture person place identify informing blind person,c14
surrounded environment could walk freely without causing problems others also using,c14
mobile face recognition could ease communication people,c14
6 october secondary school,c11
secondary education certificate,c11
score 97 9 %,c11
federation radio television summer training july 2012,c5
department broadcasting engineering,c5
basics building mobile app eclipse good,c2
matlab simulink good,c2
simulation software multisim proteus good,c2
data structures via c++ good,c2
arabic native,c4
english excellent,c4
seeking challenging career relating field academic,c11
background training experience interpersonal skills applied,c11
enhanced,c11
undergraduate cairo university communication computer,c9
department credit hours system 2014,c12
attended seven weeks training cib commercial international bank,c5
rounding different sectors information technology,c5
attended one month systel training center basic,c5
telecommunication two way mobile network broadband 2013,c14
attended three weeks siemens industrial home automation,c5
attended one month training telecom egypt one theoretical week,c5
public switched telephone networks two practical weeks,c5
attended one month training cib commercial international bank,c5
configuration networks using routers switches 2010,c11
designed website database using sql 2011,c14
designed system measure temperature operate fan using,c14
designed chatting system 3 computers using assembly,c14
implemented c++ program simulate logic gates graphical user,c14
c++ mat lab vhdl assembly language sql ccna gsm java,c2
linux,c2
good communication skills interpersonal skills,c3
worked high pressure,c3
good english,c4
