,Sentence,Label
116,coding languages c++ matlab vhdl,Techskills
117,simulation programs multisim cadence,Techskills
118,good presentation skills,Personalskills
119,good communication skills,Personalskills
120,team work skills,Personalskills
121,self motivated,Personalskills
122,self learner,Personalskills
123,person intends focus tasks targets till done best,Personalskills
124,possible way taking care technical details,Personalskills
125,expert web developer certified php programmer,Techskills
126,currently studying electrical power engineering 3rd year,Education
127,electrical power machines department,Faculty
128,faculty engineering cairo university expected graduation year 2015,Faculty
129,grade average good last year excellent,Grade
130,hadayek elmaadi exp lang school cairo egypt,Others
131,stp steps toward progress,Others
132,android workshop member,Others
133,ieee cairo university student brach | classic control workshop,Others
134,member,Others
135,ieee cairo university student brach | computer club,Others
136,member,Others
137,future eyes,Others
138,reception coordination committee member,Others
139,microcontrollers pic arduino logic circuits plc matlab,Techskills
140,programming php c++ java databases mysql,Techskills
141,html javascript css jquery,Techskills
142,good awareness asp adobe photoshop adobe flash,Techskills
143,training internships,Experience
144,electrical power stations training center north cairo july 2012,Experience
145,arab contractors july 2013,Experience
146,zce zend certified engineer license zend023399,Courses
147,12 egypt achieve highest php accreditation available,Project
148,php programming language web development,Techskills
149,mechanics review online course,Courses
150,massachusetts institute technology edx,Courses
151,introduction statistics probability online course,Courses
152,university california berkeley edx,Courses
153,icdl certificate skill card egy000883496,Courses
154,freelance web developer php programmer,Techskills
155,websites development,Techskills
156,lawyers without chains online www bilakoyod net,Techskills
157,montaser elzayat online www elzayat org,Project
158,world wide islamic prayer times,Project
159,freedom committee bar association,Others
160,arab alliance settling disputes,Others
161,guevara internet cafe manager maadi caro,Others
162,web designer developer + manager,Techskills
163,arabic mother language,Language
164,english fluent,Language
165,french beginner,Language
166,obtain internship engineering field utilize education skills benefit,Others
167,training place acquire experience grow,Others
168,faculty engineering cairo university september 2011 till 2016,Faculty
169,second year communications electronics department,Education
170,first year grade excellent ranked 12th,Grade
171,preparatory year grade excellent ranked 14th,Grade
172,sorour language school 2009 2011,Others
173,general secondary certificate score 100 6% ranked 5th egypt,Others
174,extracurricular activities,Others
175,google student ambassador gsa 2013 2014,Others
176,participated google summit amman jordan june july 2013,Others
177,responsible holding google events throughout academic year,Others
178,connect google campus performing liaison google cairo university,Others
179,introduce google products like google drive gmail students utilize education,Others
180,public relations member ieee cairo university student branch october 2013 till,Others
181,dealing external organizations media support reflect branchs activities,Others
182,team member worked organizing communications electronics departments day april,Others
183,enactus cairo university Project team member october 2013 till,Others
184,non governmental organization uses power entrepreneurship help people need,Others
185,working social Project aims make peoples life better,Others
186,mobile telecommunications package workshop spring 2014,Others
187,gsm 3g mobile systems,Others
188,mobile networks optimization,Project
189,robotics olympics team member ieee cairo university student branch june 2012 till,Experience
190,robotics team aiming participate robocon 2016 contest,Experience
191,team member angry birds robotics competition first place,Others
192,steps towards progress stp robotition workshop spring 2012,Others
193,robotics microcontroller software sessions,Others
194,team member transportation robot competition,Others
195,american chamber commerce egypt spring 2012,Others
196,presentation skills time management leadership,Personalskills
197,summer internship ibm egypt 14th july 14th august 2013,Experience
198,gdc department Project team member developing web mobile applications,Experience
199,worked team status application design using javascript css,Techskills
200,benha military electronics company katron june 2013,Experience
201,inar tablet production line plc,Experience
202,ccna smt surface mount technology pcb,Experience
203,programming c++ mikroc html basic matlab basic vhdl,Techskills
204,simulation multisim proteus topspice,Techskills
205,written non verbal communication skills,Personalskills
206,presentation skills gave five sessions technical non technical topics well,Personalskills
207,presenting educational materials colleagues,Personalskills
208,adaption work different kinds people team well ability work individually,Personalskills
209,time management involved three student activities year beside social life though,Personalskills
210,achieve academic success,Personalskills
211,table tennis player,Others
212,arabic native,Language
213,english excellent,Language
214,make sound position corporate world work enthusiastically team achieve goal,Others
215,l organization devotion hard work,Personalskills
216,cairo university faculty engineering,Faculty
217,year education forth year,Education
218,worked customer service representative agent,Experience
219,arab_organization_of_industrialization_ aoi june 2012 2 weeks,Experience
220,training arab british engine company abeco,Experience
221,egyptian_international_motors eim renault_center july 2011 2 weeks,Experience
222,training repairs hall motor association,Experience
223,south_cairo_mills_ scfm __ june 2011 4 weeks,Experience
224,motors inspection pumps repair gears design,Experience
225,outstanding achievement academic year 2012 schlumberger,Others
226,honored information technology industry development agency itida,Others
227,academic achievement oct 2013,Others
228,hard worker spe cairo university chapter season 2012,Others
229,outstanding achievement academic year 2013 schlumberger,Others
230,member society petroleum engineers cairo university spe oil gas companies',Others
231,relations committee,Others
232,participant spe auc chapter,Others
233,participant gate student chapter research developing r committee,Others
234,member resala charity association,Others
235,participant steps towards progress stp student chapter robotics committee,Others
236,oil gas skills ogs active member,Others
237,reading swimming wild life exploring languages,Others
238,hard worker seeking position company utilizes enhances knowledge,Personalskills
239,graduated faculty computers information cairo university 2008 2012,Education
240,computer science major decision support operation research minor,Faculty
241,accumulative gpa 3 31/4 00 good,Grade
242,definition daily nutrition system help organize nutrition,Project
243,system using web application technologies jsps servlets,Project
244,summer training ibm medicine conflict Project web service,Experience
245,compare two medicines conflict using python,Project
246,jee jsp servlet jdbc,Techskills
247,summer training ibm tdc insight Project management web,Experience
248,application Project managers using jee jsp servlet db2,Experience
249,participating acm training faculty computers information,Experience
250,c++ course teaching assistant fci,Courses
251,image text compression programs using algorithms lz77,Project
252,lzw huffman arithmetic huffman vector quantization scalar,Project
253,quantization 2d predictive,Project
254,fanrunoa game java prolog graphics,Project
255,simple command line interpreter windows java,Project
256,minesweeper haskell,Project
257,linear programming application,Project
258,programming languages,Techskills
259,c c++ c# java objective c assembly haskell,Techskills
260,web development,Techskills
261,html java script php,Techskills
262,jee jsps servlets,Techskills
263,mobile development,Techskills
264,ios windows phone,Techskills
265,development tools,Techskills
266,eclipse dev c++ visual studio 2010 visual studio 2010 express,Techskills
267,windows phone sybase power design net beans,Techskills
268,dreamweaver microsoft sql 2005,Techskills
269,databases,Techskills
270,microsoft sql 2005 db2 mysql,Techskills
271,graphics,Techskills
272,adobe photoshop,Techskills
273,adobe effects,Techskills
274,communication presentation analysis search teamwork leadership skills,Personalskills
275,learning new features fast updated latest technologies,Personalskills
276,work under pressure and able to meet deadlines,Personalskills
277,member student union sport committee 2010 2011,Others
278,member scci student conference communication information,Others
279,organizing committee technical support specialist scci www scci cu com,Others
280,member trainings management team p4y lvad life voice association,Others
281,development lvad www lvadonline com,Project
282,organizer fci cu job fair 2009 2010 2011 2012 postgraduates year,Others
283,organizer fci cu welcome party 2009 2010 new students,Others
284,member event team life society fci cu,Others
285,"organizer p4y's rounds closing party rounds ""programming youth"" p4y",Others
286,p4y lvadonline com team learn youth programming,Others
287,language mother language arabic good english fair french,Language
288,faculty engineering cairo university,Faculty
289,2nd year electronics communications engineering,Education
290,expected year graduate 2016,Education
291,overall grade excellent,Grade
292,1st year rank 15,Grade
293,vhdl good,Techskills
294,arduino good,Techskills
295,matlab good,Techskills
296,simulation software multisim proteus good,Techskills
297,programing via c++ good,Techskills
298,team worker,Personalskills
299,team leader,Personalskills
300,working stress,Personalskills
301,well organized,Personalskills
302,searcher seek learn,Personalskills
303,hard worker,Personalskills
304,volunteer resla organization,Others
305,member embedded system laboratory,Others
306,arabic native,Language
307,english good,Language
308,highly motivated student seeking opportunity international,Personalskills
309,firm development professional skills achievements,Personalskills
310,dedication key factors advancements,Others
311,cairo university facility engineering 2nd year,Education
312,major electronics electrical communication department,Faculty
313,accumulative grade good,Grade
314,arabic mother tongue,Language
315,english fluent reading writing speaking,Language
316,german weak,Language
317,french weak,Language
318,cairo university faculty engineering student union,Others
319,elected member 2013,Others
320,elected member 2014 elected scientific committee,Others
321,vice president,Others
322,founder positive first student activity,Others
323,launched 2017 class head academic,Others
324,committee,Others
325,pr member future eyes,Others
326,stp juniors member 2010,Others
327,responsible team player,Personalskills
328,perseverant hard worker,Personalskills
329,organized efficient result oriented,Personalskills
330,excellent communications skills,Personalskills
331,excellent presentation skills,Personalskills
332,microsoft office word power point,Personalskills
333,prezi presentation program,Personalskills
334,matlab,Techskills
335,c++ programming language,Techskills
336,personal profile recent graduate bsc communications engineering cairo university,Education
337,interested expanding professional experience relating career whether,Others
338,area embedded systems telecommunications control proven communication,Others
339,skills teamwork achieving goals proactive responsible creative proven ability,Others
340,think outside box identifying problems implementing innovative solutions,Courses
341,bsc communication electronics engineering cairo university june 2013,Education
342,title design implementation ofdm digital mobil radio,Project
343,description Project elaborates design implementation ofdm digital mobil radio,Project
344,low rate ofdm based wireless standard receiver transmitter implementation,Project
345,done usrp e100 open source software development toolkit sdr processing,Project
346,power e100 provided spartan 3a dsp1800 fpga gumstix overo tide,Project
347,module includes arm cortex a8 c64x+ dsp,Project
348,embedded systems,Techskills
349,embedded systems diploma certified embedded fab company,Courses
350,embedded systems fundamentals assembly avr,Techskills
351,embedded c programming,Techskills
352,interfacing protocols spi i2c uart,Techskills
353,real time operating systems rtos,Techskills
354,software engineering testing,Techskills
355,linux environment c/c++ matlab office,Techskills
356,arabic mother tongue english good written spoken,Language
357,microprocessor 8 bit using vhdl,Project
358,vehicle tracking systems using gsm gps modules,Project
359,mcq exam solving using microcontroller interfacing lcd keypad,Project
360,simulate source coding channel coding calculate ber using matlab,Project
361,simulate pa dpd ofdm system mimo systems equalizer using matlab 2013,Techskills
362,cece summer training basic hardware circuits pcb design linux os,Project
363,balayim petroleum company communications department,Experience
364,security meter development linux environment,Project
365,unimasr com moderation team,Others
366,cece communication electronics club engineers publicity head,Others
367,resala charity organization volunteer,Others
368,ieee participant electronics club committee,Others
369,2nd year department electronics electrical communications engineering,Education
370,faculty engineering cairo university,Faculty
371,arabic native tongue,Language
372,english good,Language
373,french fair,Language
374,positive thinking negative altitudes,Personalskills
375,worked as a software developer space system technology laboratory,Experience
376,working cansat Project participate international competition cansats held texas,Experience
377,preparing group participate robocon competition next year next,Experience
378,small android application,Project
379,curriculum working alu Project full design,Project
380,delegate gate13 pr member black horse,Others
381,organizer,Personalskills
382,sufraa el khair,Others
383,trainings sessions,Others
384,embedded systems valeo organization,Others
385,human development communication skills planning skills interviewing skills presentation skills,Personalskills
386,java android,Techskills
387,c++ cece,Others
388,avr microcontrollers ieee,Others
389,self studying,Personalskills
390,electronics circuits design mit university,Courses
391,embedded systems shape world austin university,Courses
392,work position skills utilized fullest extent,Others
393,electrical engineering bsc electronics telecommunication computer department faculty,Education
394,engineering helwan university batch 2012,Faculty
395,general grade good,Grade
396,graduation Project smart shopping cart application rfid technology uses pic,Project
397,microcontroller process information rfid reader send results graphical lcd,Project
398,mcit ministry communications information technology,Courses
399,database development administration multi platform oracle database 11g,Courses
400,electrical workshops faculty engineering helwan university one month summer 2009,Courses
401,network training bank miser one month summer 2010,Experience
402,control training cairo oil refining one month summer 2010,Experience
403,data base training egyptian general petroleum cooperation one month summer 2011,Experience
404,electronics microcontroller training aboelnaga company two months 2012,Experience
405,attend work shop sensors wireless tiec 16/10/2012,Courses
406,attend seminar human development 10/10/2010,Others
407,gsm 8/07/2010 26/07/2010,Courses
408,robotics smart control 25/07/2011 25/08/2011,Courses
409,first module ccna 27/2/2012 20/3/2012,Courses
410,english grammar course 2/1/2013 1/4/2013,Courses
411,english conversation course 11/4/2013 11/5/2013,Courses
412,toefl itp test preparation course 22/12/2013 23/1/2014,Courses
413,developing computer applications using c/c++ java,Techskills
414,programming pic microcontroller using micro c micro basic american pic basic,Project
415,create data bases using sql servers,Techskills
416,developing android application using eclipse,Techskills
417,create web sites using html java applet,Techskills
418,analog digital circuit design,Techskills
419,simulation electronic circuits using proteus 7,Techskills
420,pcb making,Techskills
421,computer interface,Techskills
422,icdl,Techskills
423,ability work team,Personalskills
424,ability learn fast,Personalskills
425,good communication skills,Personalskills
426,english good,Language
427,arabic fluent,Language
428,pass toefl exam 617 score,Grade
429,temperature sensor using z80,Project
430,calculator using 8051 microcontroller,Project
431,parallel serial computer interface circuit,Project
432,dc motor driver control circuit,Project
433,pic microcontroller general purpose kit,Project
434,home automation using sensors microcontrollers,Project
435,im android junior developer im interested software design development,Techskills
436,im seeking opportunity utilize expand skills knowledge,Others
437,bsc computer science faculty computes information cairo university,Education
438,grade good,Grade
439,Project attained excellent,Grade
440,eclipse ++ plug package focuses making eclipse collaborative,Project
441,1 crtc collaborative real time coding,Project
442,supportive tool allows collaborative real time coding,Project
443,eclipse,Techskills
444,plug source forge,Project
445,enables users transfer installed plug ins eclipse another,Project
446,plug source forge,Project
447,2 eclipse date,Project
448,used technologies java google drive api xmpp smack library svn,Project
449,nourayn software company Projects,Project
450,holy quran application android make use android devices helping,Project
451,users read listen holy quran anywhere features,Project
452,1 easy access holy quran pages surahs juz's even hizbs,Project
453,2 save bookmarks notes reading stop position,Project
454,3 one translation tafseer available,Project
455,4 audio reciting ayahs pages many reciters available,Project
456,5 share ayah friends social networks,Project
457,6 widget displaying daily islamic date ayah day,Project
458,7 reminder daily reading time,Project
459,academic Projects,Project
460,simple phonebook application java android,Project
461,messaging manager application java android,Project
462,notes application java android,Project
463,asindk islamic reminder athkar prayers c++,Project
464,wordy world words games package c++,Project
465,examination evaluation manager educational systems c++,Project
466,linear system equations solver parallel processed using mpi c,Project
467,mini java compiler java javacc,Project
468,simple news web site html javascript,Project
469,c++ basics student union course instructor july 2011,Others
470,think like programmer c++ course teaching assistant february 2012,Courses
471,associate computer science curriculum specialist ceia team july 2012,Others
472,android trainee asga tech september 2013,Experience
473,android junior developer nourayn software company december 2013,Experience
474,c++ course june 2009,Courses
475,data structures object oriented programming course january 2010,Courses
476,java course august 2011,Courses
477,photoshop course february 2012,Courses
478,java,Techskills
479,excellent,Techskills
480,c c++ good,Techskills
481,javascript,Techskills
482,good,Techskills
483,html,Techskills
484,good,Techskills
485,python good,Techskills
486,assembly,Techskills
487,ruby,Techskills
488,prolog,Techskills
489,database,Techskills
490,sql server,Techskills
491,mobile development,Techskills
492,android good,Techskills
493,adobe photoshop cs5,Techskills
494,matlab,Techskills
495,gams,Techskills
496,protg,Techskills
497,swi prolog,Techskills
498,clips expert system building tool,Techskills
499,rubymine,Techskills
500,work stress,Personalskills
501,good communication skills,Personalskills
502,social person enjoy working team,Personalskills
503,head hr committee vision society 2011 2012,Others
504,student union vice president cultural committee 2011 2012,Others
505,organizer connect success event sponsored symbyo technologies 2010,Others
506,arabic mother language,Language
507,english good,Language
508,4th year electrical power machines engineering cairo university faculty engineering,Education
509,graduation Project home automation system smart houses,Project
510,2011 summer training national center energy control gpa excellent,Experience
511,2012 mid year vacation training high dam egyptian chemical industries kima factory,Experience
512,2012 hr member ieee cusb,Others
513,2013 summer internship giza systems,Experience
514,2013 head hr team ieee cusb prepared soft skills courses instructor,Others
515,2013 technical support etisalat adsl summer vacation,Experience
516,2014 mid year vacation training alcatel lucent,Experience
517,2014 head power club team ieee cusb prepared technical courses like control,Others
518,"""automatic classic"" distribution utilization matlab help power students college",Others
519,2010 completed training program development thinking managerial,Courses
520,2011 finished matlab programming course casbec gpa excellent,Courses
521,introduction plc advanced autocad electrical works step low voltage design,Courses
522,home wiring classic control plc,Project
523,excellent presentation skills self confidence work team work work well pressure,Personalskills
524,excellent english read written spoken arabic tongue language,Language
525,excellent different computer programs dialux autocad ekts matlab ms office,Techskills
526,learning electrical safety,Others
527,learning automatic control,Others
528,see learn field trips,Others
529,enrich practical experience electricity,Others
530,c,Techskills
531,c++,Techskills
532,matlab,Techskills
533,visual basic,Techskills
534,microcontroller,Techskills
535,2 egyptian natural gas company gasco,Experience
536,learning air conditioning,Others
537,system control gas station,Others
538,safety systems,Others
539,3 egyptian electricity transmission company,Experience
540,faculty engineering cairo university,Faculty
541,power department,Faculty
542,second year,Education
543,last grade excellent,Grade
544,expected bsc electronics communications engineering 2012 2016,Education
545,language english french,Language
546,computer office ms matlab multisim protus,Techskills
547,programing c++ java android visual basic,Techskills
548,participant k vector gate cece cairo university,Others
549,june 2013 oct 2013 computer networks course university washington @ coursera,Courses
550,sep 2013 internship schlumberger,Experience
551,march 2014 osha general industry safety health 29 cfr 1910,Courses
552,march 2014 personal protective equipment ppe,Courses
553,looking challenging summer internship enhance augment,Others
554,knowledge skill base,Others
555,2011 2016 faculty engineering cairo university electronics communication,Faculty
556,department total grade fair,Grade
557,cece cooperation google student ambassadors mobile apps,Others
558,java android 2013,Techskills
559,moic member logistics 2013,Others
560,go participant marketing 2012,Others
561,technical skills c++ java vhdl simulation software multisim proteus,Techskills
562,basic electronics matlab,Techskills
563,soft skills team player creative thinker flexible problem solver work well,Personalskills
564,pressure attentive leadership skills,Personalskills
565,arabic native,Language
566,english good,Language
567,languages fluent english arabic native tongue,Language
568,current faculty engineering cairo uni credit hours system,Faculty
569,2nd year communication computer engineering,Education
570,3/4 gpa,Grade
571,computer skills c++ matlab microsoft office,Techskills
572,verilog hardware description language,Techskills
573,gasco summer 2012,Experience
574,verilog faculty engineering cairo university,Techskills
575,puppeteer Project management workshop academic year 2011_2012,Others
576,student activity stp,Others
577,soft skills presentation communication Project management skills dealing difficult personalities sales skills,Personalskills
578,negotiation skills public speaking presentation skills teamwork leadership,Personalskills
579,ipr internal public relations member stp student activity 8/2012 5/2013,Others
580,qc quality control member stp student activity 7/2013 4/2014,Others
581,tedxmust oc organizational commity member 11/2013 presnet,Others
582,faculty engineering cairo university,Faculty
583,graduation Project grade excellent,Grade
584,good,Grade
585,electronics electric communications engineering,Faculty
586,elective modules included,Project
587,information theory,Project
588,satellite communications,Techskills
589,nano technology,Techskills
590,graduation Project land oil site control invensys,Project
591,Project supported invensys control company concerned,Project
592,field safety control different sites like oil sites Project aim,Project
593,start site control point using dcs distributed control,Project
594,system make emergency system monitor pressure temperature,Project
595,point maintain security site done using esd emergency,Project
596,shut system,Project
597,basic hardware electronic circuits pcb design linux os learning cece,Techskills
598,communications electronics club engineering,Others
599,introduction ewsd switching systems telecom egypt aug 2010,Others
600,introduction transmission system nokia siemens networks nsn july 2010,Courses
601,matlab ,Techskills
602,ns2 ,Techskills
603,data structures via c++ ,Techskills
604,plc ,Techskills
605,vhdl programming ,Techskills
606,hardware design pcb ,Techskills
607,c programming ,Techskills
608,word / excel ,Techskills
609,oc member cece communications electronics club engineering,Others
610,member one organizing 29th radio conference cairo university,Others
611,communication skills speaking effectively expressing ideas working team,Personalskills
612,interactive flexible cooperative member team works,Personalskills
613,ability detect analyze solve problems scientifically,Personalskills
614,interactive learn new technologies sciences,Personalskills
615,arabic native,Language
616,english good,Language
617,computer science 2011 2015,Faculty
618,faculty computers information cairo university,Faculty
619,3rd year,Education
620,gcse thanwia amma al waha international schools,Others
621,interned ekshef start,Others
622,interned ekshef start working web backend,Experience
623,participated dose distributed outsourced software engineering course,Courses
624,eth zurich university,Faculty
625,participated teams denmark russia brazil collaborative Project,Project
626,program organized eth zurich university switzerland applied software,Project
627,engineering methodologies including requirements gathering analysis design test,Project
628,driven development implementation,Project
629,google student ambassador cairo university,Others
630,acted liaison google cairo university promoted google brand,Others
631,across campus built relationships students facul ty,Others
632,participated acm ecpc egyptian collegiate programming competition,Experience
633,acm ecpc programming competition contestants solve certain,Experience
634,Idetinfy problem requirements problem solving skills creative thinking,Personalskills
635,solving competitive programming problems online judges like top coder codeforces,Experience
636,participant scci student conference computer information,Others
637,student activity cairo university,Others
638,organizer esea egyptian software engineer association team cairo,Others
639,optimized phone contact manager,Project
640,implemented efficient contact searching program applying different data structures,Project
641,including trie treap linked lists written c++,Project
642,hive game,Project
643,strategic board game written eiffel programming language,Project
644,text editor gui,Project
645,made text editor using visual studio written c++,Project
646,languages c++ java python javascript html eiffel assembly,Techskills
647,concepts oop data structures algorithms design patterns,Techskills
648,technologies git github microsoft sql server mysql django,Techskills
649,arabic,Language
650,native,Language
651,english,Language
652,excellent written spoken,Language
653,french,Language
654,java j2se course including oop sockets threading gui,Techskills
655,aim play influential role nation's renaissance getting experience programming languages tools,Others
656,help developing useful software,Others
657,programming languages java c c++,Techskills
658,web development php css html5,Techskills
659,operating systems windows 98 xp 7 linux several versions ubuntu,Techskills
660,tools wampserver xampserver microsoft visual studio 2008 2010 2012 turbo c mysql oracle sql server 2008 microsoft,Techskills
661,bizagi business process management tool,Techskills
662,database mysql good oracle good,Techskills
663,computer science 3nd year helwan university gpa good,Education
664,arabic mother tongue,Language
665,english good read wrote spoken,Language
666,interested learning new technologies fast,Personalskills
667,presentation skills presented graduation Project egypt engineering day,Personalskills
668,communication skills volunteering campaigns mentioned later,Personalskills
669,ability work team individually according job requirements,Personalskills
670,google student ambassador logistics committee act point contact university google spread word,Others
671,competitions scholarships opportunities help google better understand needs culture host organize events,Others
672,bring awareness google's products brand https //www facebook com/gsa helwanuniversity,Others
673,flickers quality documentation committee empower students enhance vocational non vocational skills,Others
674,customized programmes organized many sessions seminars face needs students,Others
675,"resala charity organization i'm organizer reconstruction ""emaar"" activity activity establishment mosques care",Others
676,cleaned upgradation fill needs maintenance schools supplement needs classroom painting,Others
677,restoration maintenance houses poor participated many random resala events resala convoys,Others
678,travel poor villages like menia asuit deliver needs poor people foods facebook com/resala org,Others
679,emaar i'm organizer emaar aim helping poor villages egypt small Projects building roofs foods,Others
680,so7ba mosl7a aim caring orphans develop achieve dreams,Others
681,international day peace organized great celebration international day peacefor egyptian children orphans,Others
682,handicaps autistics normal children presence minister youth many embassies artists day aimed learn,Others
683,children peace know ?children rights? many funny activities suitable ages,Others
684,acm training helps trainees increase problem,Experience
685,faculty computers information,Faculty
686,academic year 3rd year,Education
687,expected graduation year 2015,Education
688,"i'm trainee "" acm icpc"" junior traning 2012 present",Experience
689,solving skills,Personalskills
690,intern microsoft imagine cup university 2012 2013,Experience
691,imagine cup university life changing program,Experience
692,microsoft last 1 years aims make able compete,Experience
693,imagine cup technical non technical training,Experience
694,member academic app factory program microsoft july,Others
695,trainee nsgb bank department june 2013,Experience
696,c++ gui,Techskills
697,c#,Techskills
698,java,Techskills
699,matlab,Techskills
700,operating systems,Techskills
701,windows 8 development,Techskills
702,windows phone 7 development,Techskills
703,android development,Techskills
704,database / web design development,Techskills
705,sql,Techskills
706,html css javascript php,Techskills
707,software engineering,Techskills
708,data structure,Techskills
709,object oriented programming,Techskills
710,database,Techskills
711,ides/tools,Techskills
712,qt creator eclipse codeblocks visual studio,Techskills
713,Projects sliding game cinema system snake game using c++,Project
714,spelling checker using c++ qt creator,Project
715,connect 4 game application windows 8,Project
716,designed a website for my college as a Project,Project
717,fci halls management system website using sql php,Project
718,fci helper application application android,Project
719,hr team member microsoft tech club cairo,Others
720,university egypt best tech club egypt 2013,Others
721,1st winning team egypt competition egypt ideation,Others
722,camp sponsored intel tiec february 2013,Others
723,idea one best 100 ideas hayiy competition,Others
724,aspires promote sme sector well fresh graduates,Others
725,nationwide develop arabic built web,Project
726,1st winning team scci conference days 2012 ponergy,Others
727,third winning team Projects competition imagine cup,Experience
728,university internship october 2012,Others
729,microsoft student partner,Others
730,i'm member vertical dec 2013 present,Others
731,microsoft student partner representative,Others
732,hr team member jan 2013 dec 2013,Others
733,participant business workshop robebkya 2013,Others
734,participant mobile application workshop android,Others
735,windows phone 7 appsplash 2012,Others
736,presentation skills,Personalskills
737,negotiation skills,Personalskills
738,communication skills,Personalskills
739,teamwork,Personalskills
740,leadership,Personalskills
741,planning,Personalskills
742,business modeling,Personalskills
743,Project management,Personalskills
744,school al bashaer language school,Others
